轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.121,5,0,0.589,0.035,7.0,0.0,0.543
2,0.000,3,0,0.566,0.174,6.0,0.0,0.630
3,0.034,7,0,0.562,0.213,5.0,0.0,0.630
4,0.064,5,0,0.565,0.252,5.0,0.0,0.637
5,0.088,3,0,0.570,0.290,4.0,1.0,0.645
6,0.223,3,0,0.640,0.327,4.0,1.0,0.655
7,0.249,3,0,0.633,0.366,5.0,0.0,0.665
8,0.411,4,0,0.703,0.405,6.0,0.0,0.675
9,0.440,5,0,0.695,0.444,6.0,0.0,0.685
10,0.468,3,0,0.697,0.483,5.0,0.0,0.695
11,0.629,5,0,0.770,0.523,6.0,0.0,0.705
12,0.661,5,0,0.765,0.564,5.0,0.0,0.716
13,0.693,3,0,0.768,0.604,5.0,1.0,0.726
14,0.723,1,0,0.773,0.644,5.0,0.0,0.737
15,0.755,3,0,0.781,0.684,5.0,0.0,0.748
16,0.790,6,0,0.789,0.861,4.0,0.0,0.818
17,0.822,3,0,0.798,0.904,6.0,0.0,0.817
18,0.852,4,0,0.806,0.947,4.0,0.0,0.822
19,0.883,4,0,0.814,,,,
20,0.913,5,0,0.822,,,,
21,0.939,4,1,0.829,,,,
22,0.966,6,1,0.836,,,,
23,0.993,5,0,0.843,,,,
24,1.000,5,0,0.847,,,,
