轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.025,4,0,0.514,0.028,2.0,0.0,0.624
2,0.049,3,0,0.523,0.059,3.0,0.0,0.679
3,0.075,3,0,0.530,0.091,5.0,0.0,0.705
4,0.101,3,0,0.537,0.123,4.0,0.0,0.720
5,0.129,4,0,0.544,0.156,2.0,0.0,0.732
6,0.158,3,0,0.551,0.190,3.0,0.0,0.741
7,0.189,4,0,0.559,0.224,4.0,0.0,0.750
8,0.221,4,0,0.567,0.258,5.0,0.0,0.759
9,0.252,1,0,0.574,0.293,2.0,0.0,0.767
10,0.286,4,0,0.583,0.328,4.0,0.0,0.776
11,0.321,3,0,0.591,0.364,3.0,0.0,0.785
12,0.354,4,0,0.600,0.399,5.0,1.0,0.794
13,0.387,3,0,0.608,0.434,3.0,0.0,0.803
14,0.416,1,1,0.616,0.542,3.0,0.0,0.866
15,0.444,3,0,0.623,0.578,5.0,0.0,0.863
16,0.470,4,0,0.630,0.614,4.0,0.0,0.867
17,0.493,2,0,0.636,0.650,5.0,0.0,0.874
18,0.517,3,0,0.642,0.686,4.0,0.0,0.883
19,0.633,3,0,0.712,0.847,5.0,0.0,0.912
20,0.657,3,0,0.703,0.883,3.0,0.0,0.911
21,0.681,4,1,0.703,0.919,3.0,0.0,0.912
22,0.701,1,0,0.707,0.955,4.0,0.0,0.913
23,0.820,5,0,0.776,0.991,5.0,0.0,0.915
24,0.838,2,0,0.766,1.000,4.0,0.0,0.939
25,0.655,3,0,0.735,,,,
26,0.672,4,0,0.725,,,,
27,0.605,1,1,0.761,,,,
28,0.612,3,0,0.736,,,,
29,0.418,1,0,0.697,,,,
30,0.539,3,0,0.750,,,,
