轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.000,5,0,0.511,0.035,8.0,0.0,0.637
2,0.029,9,0,0.520,0.191,8.0,0.0,0.762
3,0.058,7,0,0.528,0.233,8.0,0.0,0.780
4,0.089,8,0,0.537,0.276,5.0,1.0,0.793
5,0.119,4,0,0.545,0.319,8.0,0.0,0.806
6,0.153,7,1,0.554,0.450,9.0,0.0,0.878
7,0.185,3,0,0.563,0.568,8.0,0.0,0.915
8,0.293,9,0,0.630,0.616,7.0,0.0,0.914
9,0.330,8,0,0.622,0.664,4.0,0.0,0.922
10,0.444,7,0,0.683,0.713,8.0,0.0,0.929
11,0.484,8,0,0.674,0.763,9.0,0.0,0.931
12,0.526,10,0,0.678,0.812,7.0,0.0,0.934
13,0.569,6,0,0.686,0.863,9.0,0.0,0.936
14,0.605,5,0,0.695,0.913,9.0,0.0,0.939
15,0.639,5,1,0.704,0.963,5.0,0.0,0.942
16,0.673,6,0,0.714,1.000,7.0,0.0,0.944
17,0.710,8,1,0.723,,,,
18,0.821,9,0,0.791,,,,
19,0.856,8,0,0.784,,,,
20,0.885,6,0,0.786,,,,
21,0.913,6,0,0.791,,,,
22,0.939,4,0,0.797,,,,
23,0.964,5,0,0.804,,,,
24,0.987,5,0,0.810,,,,
25,0.804,3,0,0.783,,,,
26,0.815,5,0,0.774,,,,
27,0.634,7,0,0.741,,,,
28,0.444,3,0,0.696,,,,
29,0.256,6,0,0.648,,,,
30,0.265,7,0,0.630,,,,
