轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.043,3,0,0.554,0.047,3.0,0.0,0.651
2,0.087,4,0,0.582,0.100,3.0,0.0,0.719
3,0.128,3,0,0.599,0.155,4.0,0.0,0.754
4,0.171,3,0,0.612,0.212,2.0,0.0,0.776
5,0.220,3,0,0.625,0.271,4.0,0.0,0.793
6,0.263,2,0,0.636,0.438,2.0,0.0,0.876
7,0.308,3,0,0.647,0.502,3.0,0.0,0.879
8,0.358,3,0,0.658,0.567,3.0,0.0,0.889
9,0.510,4,0,0.737,0.633,2.0,0.0,0.903
10,0.574,4,0,0.737,0.698,2.0,1.0,0.918
11,0.639,4,0,0.747,0.765,4.0,0.0,0.920
12,0.701,3,1,0.760,0.833,4.0,0.0,0.920
13,0.757,2,0,0.773,0.902,3.0,0.0,0.920
14,0.813,3,0,0.786,0.970,4.0,0.0,0.920
15,0.876,3,0,0.801,1.000,3.0,0.0,0.920
16,0.933,3,0,0.815,,,,
17,0.988,3,0,0.828,,,,
18,1.000,4,0,0.835,,,,
