轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.096,4,0,0.590,0.023,3,1,0.599
2,0.106,2,0,0.587,0.047,2,0,0.643
3,0.127,3,0,0.589,0.072,3,0,0.663
4,0.275,3,0,0.663,0.098,2,0,0.675
5,0.383,2,0,0.720,0.247,4,0,0.754
6,0.410,3,0,0.707,0.275,2,0,0.749
7,0.438,3,0,0.706,0.301,3,1,0.751
8,0.560,4,0,0.775,0.327,2,0,0.755
9,0.591,3,0,0.767,0.354,3,0,0.761
10,0.624,4,0,0.769,0.449,4,0,0.829
11,0.654,2,1,0.774,0.478,3,0,0.820
12,0.685,3,0,0.780,0.506,4,0,0.821
13,0.803,4,0,0.852,0.534,2,0,0.825
14,0.834,3,0,0.845,0.563,4,0,0.831
15,0.866,3,0,0.847,0.591,1,0,0.838
16,0.894,3,0,0.851,0.620,2,0,0.844
17,0.920,2,0,0.857,0.706,3,1,0.904
18,0.946,3,0,0.863,0.736,3,0,0.897
19,0.970,3,0,0.869,0.900,1,0,0.951
20,0.993,3,0,0.875,0.930,2,1,0.949
21,1.000,4,0,0.878,0.960,2,0,0.951
