轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.025,17,0,0.531,0.028,15.0,1.0,0.553
2,0.050,11,0,0.548,0.193,15.0,0.0,0.645
3,0.217,15,0,0.626,0.224,16.0,0.0,0.647
4,0.244,13,0,0.622,0.395,12.0,0.0,0.721
5,0.270,11,0,0.625,0.429,12.0,0.0,0.716
6,0.298,14,0,0.631,0.462,10.0,1.0,0.719
7,0.327,12,0,0.638,0.495,11.0,0.0,0.726
8,0.358,15,0,0.646,0.530,15.0,0.0,0.735
9,0.389,12,0,0.655,0.564,11.0,0.0,0.745
10,0.424,15,0,0.665,0.600,13.0,0.0,0.754
11,0.460,17,0,0.675,0.636,12.0,0.0,0.765
12,0.497,17,1,0.685,0.672,10.0,0.0,0.775
13,0.606,17,0,0.751,0.708,10.0,0.0,0.784
14,0.643,13,0,0.743,0.741,13.0,0.0,0.793
15,0.677,14,0,0.746,0.774,9.0,0.0,0.802
16,0.711,14,1,0.753,0.807,10.0,1.0,0.810
17,0.740,17,0,0.761,0.842,10.0,0.0,0.819
18,0.886,16,0,0.832,0.878,11.0,0.0,0.828
19,0.914,11,0,0.825,0.912,14.0,0.0,0.837
20,0.942,14,0,0.827,0.946,11.0,0.0,0.845
21,0.969,17,0,0.833,0.980,12.0,0.0,0.854
22,0.995,10,0,0.839,,,,
23,1.000,13,0,0.886,,,,
