轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.107,4,0,0.591,0.035,2.0,0.0,0.529
2,0.122,2,0,0.590,0.139,2.0,0.0,0.608
3,0.157,4,0,0.595,0.177,1.0,0.0,0.604
4,0.194,3,0,0.602,0.213,2.0,0.0,0.608
5,0.224,2,1,0.609,0.250,3.0,0.0,0.615
6,0.257,3,0,0.617,0.362,3.0,0.0,0.686
7,0.295,4,0,0.625,0.403,4.0,0.0,0.681
8,0.333,3,1,0.634,0.443,3.0,0.0,0.684
9,0.372,4,1,0.643,0.485,2.0,0.0,0.691
10,0.414,3,0,0.653,0.526,1.0,0.0,0.700
11,0.527,2,0,0.725,0.568,3.0,0.0,0.710
12,0.572,3,1,0.720,0.609,3.0,0.0,0.720
13,0.701,2,1,0.789,0.791,4.0,0.0,0.802
14,0.744,3,0,0.783,0.929,3.0,0.0,0.867
15,0.786,3,0,0.786,0.973,2.0,0.0,0.859
16,0.825,3,0,0.793,1.000,1.0,0.0,0.859
17,0.863,3,0,0.802,,,,
18,0.897,1,0,0.810,,,,
19,0.929,3,0,0.818,,,,
20,0.955,0,0,0.825,,,,
21,0.985,3,0,0.832,,,,
