轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.032,12,0,0.516,0.035,15.0,0.0,0.637
2,0.066,10,0,0.528,0.073,13.0,0.0,0.697
3,0.103,13,0,0.539,0.111,11.0,0.0,0.728
4,0.142,15,0,0.550,0.150,13.0,0.0,0.747
5,0.276,15,0,0.621,0.331,12.0,0.0,0.829
6,0.318,11,0,0.617,0.374,13.0,0.0,0.829
7,0.363,16,0,0.622,0.417,12.0,0.0,0.836
8,0.410,15,0,0.633,0.460,13.0,0.0,0.846
9,0.457,12,0,0.644,0.640,14.0,0.0,0.916
10,0.507,14,0,0.657,0.686,12.0,0.0,0.919
11,0.555,12,0,0.670,0.733,9.0,0.0,0.921
12,0.605,13,0,0.683,0.875,14.0,0.0,0.942
13,0.656,16,0,0.697,0.923,13.0,0.0,0.942
14,0.814,15,0,0.774,1.000,14.0,0.0,0.960
15,0.998,15,0,0.840,,,,
16,1.000,15,0,0.827,,,,
