轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.009,16,0,0.514,0.026,20.0,0.0,0.548
2,0.019,15,0,0.521,0.053,19.0,0.0,0.571
3,0.097,15,0,0.579,0.081,17.0,0.0,0.586
4,0.118,12,1,0.566,0.109,19.0,0.0,0.596
5,0.274,16,0,0.631,0.138,21.0,0.0,0.606
6,0.089,9,0,0.584,0.168,17.0,0.0,0.614
7,0.000,8,1,0.551,0.198,21.0,0.0,0.623
8,0.007,10,0,0.538,0.228,19.0,0.0,0.632
9,0.013,9,1,0.534,0.260,15.0,0.0,0.641
10,0.028,12,0,0.535,0.386,14.0,0.0,0.709
11,0.045,7,1,0.539,0.420,18.0,0.0,0.702
12,0.062,11,0,0.543,0.454,16.0,0.0,0.705
13,0.080,12,0,0.548,0.547,16.0,0.0,0.763
14,0.096,11,0,0.553,0.582,20.0,1.0,0.754
15,0.114,12,0,0.557,0.619,17.0,0.0,0.756
16,0.130,14,0,0.562,0.655,18.0,0.0,0.764
17,0.146,13,0,0.567,0.791,17.0,0.0,0.828
18,0.000,8,0,0.544,0.827,10.0,0.0,0.822
19,0.015,11,0,0.537,0.862,16.0,0.0,0.825
20,0.029,12,0,0.537,0.955,13.0,0.0,0.878
21,0.036,9,0,0.538,0.992,13.0,0.0,0.871
22,0.000,8,0,0.532,1.000,10.0,0.0,0.869
23,0.000,10,0,0.530,,,,
24,0.007,10,0,0.530,,,,
25,0.000,13,0,0.571,,,,
26,0.007,11,0,0.549,,,,
27,0.154,12,0,0.608,,,,
28,0.161,11,0,0.592,,,,
29,0.167,15,0,0.587,,,,
30,0.000,10,0,0.557,,,,
31,0.006,10,0,0.545,,,,
32,0.000,12,0,0.540,,,,
33,0.005,8,0,0.538,,,,
34,0.068,11,0,0.591,,,,
35,0.000,13,0,0.560,,,,
36,0.005,15,1,0.549,,,,
37,0.000,14,0,0.544,,,,
38,0.000,11,1,0.541,,,,
39,0.000,11,0,0.541,,,,
40,0.057,13,0,0.588,,,,
41,0.000,14,0,0.559,,,,
42,0.000,13,1,0.548,,,,
43,0.004,10,0,0.544,,,,
44,0.007,8,0,0.543,,,,
45,0.000,14,0,0.579,,,,
46,0.123,16,0,0.615,,,,
47,0.126,5,0,0.592,,,,
48,0.047,11,0,0.607,,,,
49,0.050,6,0,0.575,,,,
50,0.052,10,0,0.563,,,,
51,0.055,12,1,0.559,,,,
52,0.000,13,1,0.547,,,,
53,0.000,11,1,0.543,,,,
54,0.000,9,0,0.541,,,,
55,0.000,12,0,0.540,,,,
56,0.001,9,0,0.540,,,,
57,0.147,11,0,0.604,,,,
58,0.000,11,0,0.566,,,,
59,0.001,7,0,0.550,,,,
60,0.002,15,0,0.545,,,,
61,0.000,16,0,0.580,,,,
62,0.001,10,1,0.556,,,,
63,0.002,12,0,0.547,,,,
64,0.000,9,0,0.543,,,,
65,0.001,13,0,0.541,,,,
66,0.000,9,1,0.541,,,,
67,0.000,14,0,0.540,,,,
68,0.082,10,1,0.593,,,,
69,0.153,11,0,0.626,,,,
70,0.154,12,0,0.601,,,,
71,0.155,15,0,0.591,,,,
72,0.043,12,0,0.606,,,,
73,0.000,13,0,0.605,,,,
74,0.000,13,0,0.604,,,,
75,0.000,9,0,0.566,,,,
76,0.001,10,0,0.550,,,,
77,0.000,13,0,0.544,,,,
78,0.000,7,0,0.542,,,,
79,0.130,8,1,0.601,,,,
80,0.131,11,0,0.587,,,,
81,0.132,15,0,0.582,,,,
82,0.006,13,1,0.596,,,,
83,0.008,13,0,0.564,,,,
84,0.000,11,1,0.550,,,,
85,0.000,12,0,0.544,,,,
86,0.001,12,0,0.542,,,,
87,0.002,16,0,0.541,,,,
88,0.003,14,0,0.541,,,,
89,0.005,11,0,0.541,,,,
90,0.000,11,0,0.540,,,,
91,0.001,13,0,0.540,,,,
92,0.002,9,0,0.541,,,,
93,0.000,16,0,0.540,,,,
94,0.001,10,0,0.540,,,,
95,0.002,11,0,0.541,,,,
96,0.004,11,0,0.541,,,,
97,0.005,10,0,0.541,,,,
98,0.006,13,0,0.541,,,,
99,0.007,11,0,0.542,,,,
100,0.008,14,0,0.542,,,,
