轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.098,4.0,0.0,0.590,0.026,3,0,0.516
2,0.109,2.0,0.0,0.588,0.052,1,0,0.526
3,0.132,3.0,0.0,0.590,0.078,4,0,0.533
4,0.282,3.0,0.0,0.665,0.104,0,0,0.540
5,0.393,2.0,0.0,0.722,0.130,2,0,0.547
6,0.422,3.0,0.0,0.710,0.156,2,0,0.553
7,0.453,3.0,0.0,0.709,0.183,3,0,0.560
8,0.578,4.0,0.0,0.779,0.284,3,0,0.629
9,0.612,3.0,0.0,0.772,0.312,4,0,0.620
10,0.648,4.0,0.0,0.774,0.341,3,0,0.621
11,0.681,2.0,1.0,0.780,0.369,2,0,0.626
12,0.715,3.0,0.0,0.787,0.398,1,0,0.632
13,0.836,4.0,0.0,0.859,0.427,3,0,0.638
14,0.871,3.0,0.0,0.853,0.456,3,0,0.645
15,0.905,3.0,0.0,0.856,0.624,4,0,0.724
16,0.939,4.0,0.0,0.861,0.747,3,0,0.785
17,0.971,4.0,0.0,0.868,0.778,2,0,0.774
18,0.997,2.0,0.0,0.875,0.810,1,0,0.774
19,1.000,3.0,0.0,0.878,0.839,0,0,0.778
20,,,,,0.926,2,0,0.845
21,,,,,0.958,3,0,0.836
22,,,,,0.990,1,0,0.837
23,,,,,1.000,2,0,0.839
