轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.013,4,0,0.555,0.035,6.0,0.0,0.663
2,0.043,6,1,0.581,0.157,5.0,0.0,0.795
3,0.000,4,0,0.585,0.200,6.0,0.0,0.814
4,0.027,6,0,0.591,0.244,5.0,0.0,0.829
5,0.048,4,0,0.596,0.289,3.0,0.0,0.842
6,0.222,3,0,0.673,0.334,6.0,0.0,0.855
7,0.247,5,0,0.668,0.380,6.0,1.0,0.867
8,0.270,3,0,0.670,0.426,4.0,0.0,0.879
9,0.295,4,0,0.674,0.474,7.0,0.0,0.891
10,0.318,4,1,0.680,0.521,7.0,1.0,0.904
11,0.340,4,0,0.685,0.654,5.0,0.0,0.961
12,0.492,5,0,0.759,0.704,6.0,1.0,0.963
13,0.517,5,0,0.753,0.755,6.0,0.0,0.963
14,0.540,3,0,0.754,0.805,4.0,0.0,0.963
15,0.561,1,0,0.757,0.855,4.0,0.0,0.963
16,0.584,3,0,0.762,0.904,5.0,0.0,0.963
17,0.609,6,0,0.768,0.950,6.0,0.0,0.963
18,0.428,1,1,0.742,0.996,4.0,0.0,0.963
19,0.450,5,0,0.735,1.000,6.0,0.0,0.975
20,0.473,5,0,0.736,,,,
21,0.483,3,0,0.738,,,,
22,0.504,5,0,0.742,,,,
23,0.524,4,0,0.747,,,,
24,0.341,4,1,0.720,,,,
25,0.160,5,0,0.681,,,,
26,0.181,6,0,0.668,,,,
27,0.191,5,0,0.665,,,,
28,0.200,6,0,0.665,,,,
29,0.018,5,0,0.636,,,,
30,0.026,3,0,0.626,,,,
