轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.032,7,0,0.550,0.035,7.0,0.0,0.536
2,0.000,4,0,0.565,0.071,5.0,0.0,0.555
3,0.029,5,0,0.575,0.237,6.0,0.0,0.637
4,0.134,5,1,0.644,0.416,6.0,0.0,0.705
5,0.164,3,0,0.636,0.458,5.0,0.0,0.699
6,0.198,6,0,0.638,0.500,4.0,0.0,0.703
7,0.231,4,0,0.644,0.625,5.0,1.0,0.772
8,0.398,5,1,0.720,0.668,5.0,0.0,0.767
9,0.434,4,0,0.717,0.846,1.0,0.0,0.839
10,0.466,4,0,0.720,1.000,6.0,0.0,0.894
11,0.502,6,0,0.727,,,,
12,0.539,7,0,0.736,,,,
13,0.575,6,0,0.745,,,,
14,0.614,5,0,0.755,,,,
15,0.743,4,0,0.826,,,,
16,0.781,4,0,0.821,,,,
17,0.964,5,0,0.895,,,,
18,1.000,4,0,0.891,,,,
