轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.013,4,0,0.525,0.035,6.0,0.0,0.596
2,0.042,5,0,0.539,0.072,4.0,0.0,0.640
3,0.070,4,0,0.549,0.111,4.0,0.0,0.663
4,0.198,4,0,0.621,0.151,6.0,0.0,0.679
5,0.418,4,0,0.739,0.191,3.0,0.0,0.692
6,0.448,2,0,0.711,0.289,7.0,0.0,0.760
7,0.480,4,1,0.705,0.332,7.0,0.0,0.754
8,0.512,5,1,0.708,0.507,7.0,0.0,0.825
9,0.543,5,0,0.714,0.552,6.0,0.0,0.822
10,0.705,5,0,0.789,0.598,4.0,0.0,0.828
11,0.733,3,1,0.784,0.643,6.0,0.0,0.838
12,0.837,6,0,0.845,0.690,6.0,0.0,0.849
13,0.864,3,0,0.834,0.737,5.0,0.0,0.855
14,0.890,2,1,0.834,0.916,6.0,0.0,0.896
15,1.000,5,0,0.886,,,,
