轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.064,2,0,0.548,0.071,1.0,0.0,0.629
2,0.266,2,0,0.651,0.150,2.0,0.0,0.689
3,0.408,2,0,0.729,0.232,2.0,0.0,0.724
4,0.485,2,0,0.730,0.395,1.0,0.0,0.817
5,0.550,1,0,0.738,0.487,2.0,0.0,0.825
6,0.682,2,1,0.817,0.579,1.0,1.0,0.840
7,0.710,0,0,0.812,0.675,1.0,0.0,0.857
8,0.762,1,0,0.816,0.774,0.0,0.0,0.867
9,0.816,1,0,0.824,0.875,1.0,0.0,0.867
10,0.872,1,0,0.834,0.978,1.0,0.0,0.867
11,0.925,1,0,0.845,1.000,2.0,0.0,0.867
12,0.979,1,0,0.855,,,,
13,1.000,1,0,0.862,,,,
