轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.025,17,0,0.516,0.028,15.0,0.0,0.642
2,0.051,15,0,0.526,0.139,16.0,0.0,0.761
3,0.078,17,0,0.535,0.173,14.0,0.0,0.774
4,0.106,15,0,0.544,0.359,18.0,0.0,0.854
5,0.136,17,0,0.552,0.396,18.0,0.0,0.852
6,0.166,15,0,0.561,0.557,13.0,0.0,0.916
7,0.327,15,0,0.635,0.597,16.0,0.0,0.915
8,0.361,17,0,0.630,0.637,18.0,0.0,0.921
9,0.395,13,0,0.634,0.735,18.0,0.0,0.947
10,0.431,16,0,0.642,0.777,16.0,0.0,0.945
11,0.467,15,0,0.651,0.819,18.0,0.0,0.946
12,0.565,18,0,0.714,0.960,14.0,0.0,0.964
13,0.603,17,0,0.706,1.000,11.0,0.0,0.963
14,0.788,16,0,0.778,,,,
15,0.824,14,0,0.772,,,,
16,0.859,15,0,0.776,,,,
17,0.894,17,0,0.784,,,,
18,0.927,16,0,0.792,,,,
19,0.959,14,0,0.801,,,,
20,0.990,16,0,0.810,,,,
21,1.000,19,0,0.816,,,,
