轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.118,4,0,0.593,0.047,3.0,0.0,0.519
2,0.138,2,0,0.593,0.095,2.0,0.0,0.533
3,0.186,4,0,0.600,0.144,3.0,0.0,0.546
4,0.235,3,0,0.610,0.193,2.0,0.0,0.558
5,0.275,2,1,0.620,0.242,3.0,0.0,0.570
6,0.320,3,0,0.630,0.442,3.0,0.0,0.656
7,0.372,4,0,0.641,0.496,3.0,0.0,0.658
8,0.423,3,1,0.654,0.670,4.0,0.0,0.735
9,0.476,4,1,0.666,0.728,3.0,0.0,0.735
10,0.533,3,0,0.679,0.787,4.0,0.0,0.743
11,0.662,2,0,0.755,0.847,2.0,0.0,0.755
12,0.724,3,1,0.754,0.907,3.0,0.0,0.769
13,0.869,2,1,0.827,0.968,3.0,0.0,0.783
14,0.929,3,0,0.825,1.000,4.0,0.0,0.793
15,0.987,3,0,0.832,,,,
16,1.000,3,0,0.837,,,,
