轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.120,6,0,0.589,0.035,8.0,0.0,0.596
2,0.134,5,0,0.588,0.073,9.0,0.0,0.640
3,0.167,7,0,0.592,0.214,7.0,0.0,0.727
4,0.198,4,0,0.599,0.255,7.0,1.0,0.728
5,0.233,7,0,0.607,0.296,8.0,0.0,0.735
6,0.268,5,0,0.616,0.338,6.0,0.0,0.745
7,0.307,6,0,0.626,0.380,8.0,0.0,0.755
8,0.346,4,0,0.637,0.543,8.0,0.0,0.831
9,0.390,7,0,0.648,0.589,7.0,0.0,0.830
10,0.583,9,0,0.730,0.635,9.0,0.0,0.837
11,0.631,8,0,0.730,0.681,7.0,0.0,0.847
12,0.671,5,0,0.737,0.784,9.0,1.0,0.884
13,0.712,5,0,0.746,0.831,8.0,0.0,0.881
14,0.755,8,0,0.757,1.000,9.0,0.0,0.919
15,0.795,6,0,0.767,,,,
16,0.951,6,0,0.843,,,,
17,0.993,9,0,0.840,,,,
18,1.000,7,0,0.840,,,,
