轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.031,17,0,0.520,0.035,15.0,0.0,0.551
2,0.061,10,0,0.534,0.072,13.0,0.0,0.578
3,0.094,15,0,0.545,0.109,11.0,0.0,0.595
4,0.124,13,0,0.554,0.147,17.0,0.0,0.608
5,0.155,11,0,0.563,0.285,13.0,1.0,0.680
6,0.187,14,0,0.572,0.325,15.0,0.0,0.676
7,0.221,12,0,0.582,0.584,13.0,0.0,0.802
8,0.257,15,0,0.592,0.627,10.0,0.0,0.782
9,0.293,11,0,0.602,0.670,10.0,0.0,0.781
10,0.327,14,0,0.612,0.709,10.0,0.0,0.787
11,0.356,12,1,0.620,0.745,6.0,0.0,0.796
12,0.384,8,0,0.629,0.783,8.0,0.0,0.805
13,0.414,13,0,0.637,0.954,8.0,0.0,0.877
14,0.444,13,0,0.646,0.994,8.0,0.0,0.875
15,0.474,11,0,0.654,1.000,6.0,0.0,0.875
16,0.503,10,0,0.663,,,,
17,0.531,11,0,0.671,,,,
18,0.558,11,0,0.679,,,,
19,0.582,10,0,0.686,,,,
20,0.603,7,0,0.693,,,,
21,0.625,8,0,0.699,,,,
22,0.646,9,0,0.705,,,,
23,0.669,12,0,0.711,,,,
24,0.690,10,0,0.718,,,,
25,0.507,8,0,0.689,,,,
26,0.516,9,0,0.679,,,,
27,0.525,9,0,0.676,,,,
28,0.533,3,0,0.677,,,,
29,0.643,8,0,0.739,,,,
30,0.456,13,0,0.692,,,,
