轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.030,3,0,0.552,0.142,2.0,0.0,0.620
2,0.065,4,0,0.578,0.180,2.0,0.0,0.634
3,0.101,4,0,0.594,0.219,3.0,0.0,0.645
4,0.231,4,0,0.671,0.258,3.0,0.0,0.655
5,0.262,2,0,0.666,0.443,4.0,1.0,0.738
6,0.294,3,0,0.669,0.484,2.0,0.0,0.737
7,0.327,3,0,0.675,0.522,3.0,1.0,0.742
8,0.366,3,0,0.682,0.560,3.0,0.0,0.749
9,0.403,3,0,0.691,0.697,1.0,0.0,0.824
10,0.444,4,1,0.700,0.738,3.0,0.0,0.820
11,0.480,3,1,0.709,0.779,3.0,0.0,0.824
12,0.515,2,0,0.718,0.821,3.0,0.0,0.832
13,0.548,2,0,0.726,0.861,3.0,1.0,0.841
14,0.640,2,0,0.795,0.900,2.0,0.0,0.850
15,0.676,2,0,0.787,0.941,1.0,0.0,0.859
16,0.708,2,0,0.789,0.981,3.0,1.0,0.869
17,0.743,4,0,0.795,1.000,2.0,0.0,0.876
18,0.896,4,0,0.871,,,,
19,0.928,2,0,0.866,,,,
20,0.959,2,0,0.869,,,,
21,0.986,0,0,0.873,,,,
22,1.000,3,0,0.877,,,,
