轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.031,3,0,0.528,0.033,2.0,1.0,0.577
2,0.063,4,0,0.545,0.068,2.0,1.0,0.612
3,0.093,3,0,0.555,0.103,2.0,0.0,0.632
4,0.127,4,0,0.564,0.140,3.0,0.0,0.645
5,0.161,3,0,0.573,0.176,3.0,0.0,0.655
6,0.189,2,1,0.580,0.359,4.0,1.0,0.738
7,0.220,3,0,0.588,0.397,2.0,0.0,0.736
8,0.255,3,0,0.596,0.434,3.0,1.0,0.741
9,0.288,3,1,0.604,0.471,3.0,0.0,0.748
10,0.325,3,0,0.612,0.606,1.0,0.0,0.817
11,0.426,4,0,0.682,0.644,4.0,1.0,0.816
12,0.464,2,0,0.676,0.683,2.0,0.0,0.821
13,0.508,3,1,0.679,0.722,2.0,0.0,0.824
14,0.635,2,1,0.751,0.763,3.0,0.0,0.829
15,0.679,3,0,0.746,0.932,2.0,0.0,0.879
16,0.720,3,0,0.750,0.973,3.0,0.0,0.877
17,0.758,3,0,0.757,1.000,2.0,0.0,0.879
18,0.795,3,0,0.765,,,,
19,0.830,3,0,0.774,,,,
20,0.869,3,0,0.783,,,,
21,0.904,2,0,0.791,,,,
22,0.937,2,0,0.799,,,,
