轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.000,6.0,0.0,0.520,0.035,10,0,0.566
2,0.032,9.0,0.0,0.533,0.072,10,0,0.598
3,0.064,7.0,0.0,0.544,0.110,10,0,0.617
4,0.097,7.0,0.0,0.554,0.149,9,0,0.631
5,0.234,9.0,0.0,0.625,0.188,6,0,0.644
6,0.273,8.0,0.0,0.620,0.226,8,1,0.655
7,0.313,7.0,0.0,0.625,0.266,6,0,0.666
8,0.354,7.0,1.0,0.633,0.306,9,0,0.677
9,0.537,6.0,0.0,0.712,0.346,10,0,0.688
10,0.583,8.0,0.0,0.711,0.387,10,0,0.699
11,0.628,9.0,0.0,0.718,0.428,9,0,0.710
12,0.674,11.0,0.0,0.728,0.471,8,0,0.722
13,0.719,10.0,0.0,0.740,0.513,7,0,0.733
14,0.764,10.0,0.0,0.752,0.556,8,0,0.745
15,0.807,8.0,0.0,0.764,0.600,9,0,0.757
16,0.851,9.0,0.0,0.776,0.644,10,0,0.769
17,0.891,7.0,0.0,0.787,0.688,9,0,0.781
18,0.931,7.0,0.0,0.799,0.733,8,0,0.792
19,1.000,11.0,0.0,0.859,0.778,8,0,0.804
20,,,,,0.822,8,0,0.815
21,,,,,0.867,7,0,0.826
22,,,,,1.000,8,0,0.887
