轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.030,10,0,0.525,0.035,11.0,0.0,0.550
2,0.045,7,0,0.538,0.072,6.0,0.0,0.576
3,0.077,9,0,0.548,0.193,7.0,0.0,0.651
4,0.110,9,0,0.558,0.232,8.0,0.0,0.647
5,0.146,12,0,0.568,0.271,7.0,0.0,0.652
6,0.184,11,0,0.578,0.310,10.0,0.0,0.661
7,0.308,11,0,0.647,0.459,11.0,0.0,0.734
8,0.351,12,0,0.642,0.501,9.0,0.0,0.730
9,0.395,12,0,0.647,0.544,11.0,0.0,0.735
10,0.442,13,0,0.657,0.587,10.0,0.0,0.745
11,0.489,13,0,0.669,0.629,7.0,1.0,0.756
12,0.536,12,0,0.682,0.807,9.0,0.0,0.834
13,0.581,10,0,0.694,0.853,9.0,0.0,0.833
14,0.626,11,0,0.707,0.967,12.0,0.0,0.890
15,0.673,11,0,0.720,1.000,9.0,0.0,0.884
16,0.717,11,1,0.732,,,,
17,0.760,12,0,0.745,,,,
18,0.802,12,1,0.757,,,,
19,0.841,10,0,0.768,,,,
20,0.879,11,0,0.779,,,,
21,0.912,9,0,0.789,,,,
22,0.942,10,1,0.798,,,,
23,0.972,9,0,0.806,,,,
24,0.999,6,0,0.814,,,,
