轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.024,3,0,0.551,0.028,4.0,0.0,0.504
2,0.052,4,0,0.576,0.056,4.0,0.0,0.510
3,0.081,4,0,0.590,0.166,3.0,0.0,0.580
4,0.202,4,0,0.665,0.195,2.0,0.0,0.572
5,0.226,2,0,0.659,0.225,3.0,0.0,0.573
6,0.252,3,0,0.660,0.255,4.0,0.0,0.578
7,0.278,3,0,0.664,0.366,4.0,0.0,0.648
8,0.309,3,0,0.670,0.397,3.0,0.0,0.640
9,0.335,2,1,0.676,0.428,4.0,0.0,0.642
10,0.364,3,0,0.683,0.599,4.0,0.0,0.719
11,0.392,3,0,0.690,0.632,4.0,0.0,0.715
12,0.492,2,0,0.759,0.665,2.0,0.0,0.718
13,0.522,2,0,0.751,0.697,2.0,1.0,0.723
14,0.611,2,0,0.812,0.729,3.0,0.0,0.730
15,0.640,1,0,0.801,0.761,3.0,0.0,0.738
16,0.669,3,0,0.801,0.793,4.0,0.0,0.745
17,0.698,3,0,0.805,0.825,3.0,0.0,0.753
18,0.725,3,0,0.810,0.857,3.0,0.0,0.761
19,0.751,3,0,0.816,0.890,3.0,0.0,0.768
20,0.774,2,0,0.822,0.922,4.0,0.0,0.776
21,0.796,1,0,0.827,0.954,4.0,0.0,0.784
22,0.820,3,0,0.833,,,,
23,0.842,3,0,0.838,,,,
24,0.862,2,0,0.843,,,,
25,0.977,3,0,0.914,,,,
