轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.025,16.0,1.0,0.531,0.028,12,0,0.595
2,0.051,15.0,0.0,0.548,0.058,11,0,0.638
3,0.172,14.0,0.0,0.619,0.090,16,0,0.661
4,0.201,15.0,0.0,0.612,0.122,15,0,0.675
5,0.231,13.0,0.0,0.614,0.154,16,1,0.686
6,0.409,17.0,0.0,0.689,0.187,12,0,0.696
7,0.442,15.0,0.0,0.684,0.220,12,0,0.706
8,0.475,13.0,0.0,0.688,0.254,15,0,0.716
9,0.509,17.0,0.0,0.695,0.289,17,0,0.726
10,0.543,12.0,0.0,0.704,0.323,14,0,0.736
11,0.580,15.0,0.0,0.714,0.359,10,0,0.746
12,0.616,15.0,0.0,0.724,0.395,10,0,0.756
13,0.654,17.0,0.0,0.734,0.564,14,1,0.829
14,0.691,16.0,0.0,0.745,0.660,17,0,0.864
15,0.728,16.0,0.0,0.755,0.699,15,0,0.859
16,0.763,13.0,0.0,0.766,0.881,16,0,0.894
17,0.798,15.0,0.0,0.776,0.920,16,0,0.891
18,0.973,15.0,0.0,0.853,0.954,9,0,0.893
19,1.000,16.0,0.0,0.890,0.989,8,0,0.896
20,,,,,1.000,10,0,0.898
