轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.031,16,1,0.532,0.035,15.0,0.0,0.596
2,0.063,15,0,0.551,0.209,15.0,0.0,0.707
3,0.191,14,0,0.623,0.250,13.0,0.0,0.719
4,0.227,15,0,0.618,0.291,12.0,0.0,0.730
5,0.263,13,0,0.622,0.333,17.0,0.0,0.742
6,0.449,17,0,0.699,0.375,14.0,0.0,0.754
7,0.490,15,0,0.696,0.524,16.0,0.0,0.826
8,0.529,13,0,0.702,0.569,16.0,0.0,0.824
9,0.571,17,0,0.711,0.615,16.0,0.0,0.831
10,0.612,12,0,0.722,0.661,15.0,0.0,0.841
11,0.656,15,0,0.734,0.707,16.0,0.0,0.852
12,0.700,15,0,0.746,0.754,16.0,1.0,0.858
13,0.745,17,0,0.759,0.801,15.0,0.0,0.864
14,0.789,16,0,0.772,0.848,15.0,0.0,0.870
15,0.834,16,0,0.784,0.895,12.0,0.0,0.877
16,0.875,13,0,0.796,1.000,13.0,0.0,0.911
17,0.917,15,0,0.808,,,,
