轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.000,5,0,0.542,0.034,8.0,1.0,0.518
2,0.031,6,0,0.564,0.171,6.0,1.0,0.593
3,0.064,5,0,0.578,0.206,6.0,1.0,0.589
4,0.101,8,0,0.590,0.241,5.0,0.0,0.593
5,0.136,4,0,0.600,0.277,4.0,0.0,0.600
6,0.175,9,1,0.610,0.313,6.0,0.0,0.609
7,0.213,4,0,0.621,0.349,7.0,0.0,0.618
8,0.251,6,0,0.631,0.385,5.0,0.0,0.628
9,0.291,7,0,0.641,0.422,7.0,0.0,0.637
10,0.325,5,0,0.651,0.459,8.0,1.0,0.647
11,0.359,5,0,0.661,0.498,8.0,0.0,0.658
12,0.394,5,0,0.670,0.537,6.0,0.0,0.668
13,0.432,8,0,0.680,0.576,6.0,0.0,0.679
14,0.467,6,0,0.690,0.615,8.0,1.0,0.689
15,0.619,6,0,0.764,0.655,7.0,0.0,0.700
16,0.656,9,0,0.760,0.781,7.0,0.0,0.770
17,0.686,5,0,0.763,0.823,5.0,0.0,0.765
18,0.715,4,0,0.769,0.865,6.0,0.0,0.770
19,0.746,4,0,0.777,0.907,7.0,0.0,0.779
20,0.777,5,0,0.785,0.949,8.0,0.0,0.789
21,0.807,5,0,0.793,0.992,4.0,0.0,0.801
22,0.836,5,0,0.800,1.000,7.0,0.0,0.806
23,0.863,6,0,0.808,,,,
24,0.890,6,0,0.815,,,,
25,0.916,7,0,0.823,,,,
26,0.942,6,0,0.830,,,,
27,0.762,5,0,0.803,,,,
28,0.582,6,0,0.764,,,,
29,0.593,7,1,0.750,,,,
30,0.603,7,0,0.746,,,,
