轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.010,16,0,0.514,0.028,17.0,0.0,0.562
2,0.021,16,0,0.521,0.057,17.0,0.0,0.593
3,0.157,18,0,0.590,0.162,18.0,1.0,0.665
4,0.181,13,0,0.582,0.193,13.0,0.0,0.659
5,0.205,17,0,0.582,0.225,18.0,0.0,0.663
6,0.228,17,0,0.587,0.325,18.0,0.0,0.724
7,0.250,14,0,0.592,0.503,18.0,0.0,0.780
8,0.355,17,0,0.655,0.538,18.0,1.0,0.770
9,0.378,14,0,0.644,0.573,17.0,0.0,0.772
10,0.399,14,0,0.643,0.609,16.0,0.0,0.779
11,0.564,15,0,0.714,0.645,17.0,0.0,0.788
12,0.584,12,0,0.706,0.680,15.0,0.0,0.797
13,0.603,11,0,0.706,0.717,14.0,0.0,0.807
14,0.622,13,0,0.709,0.753,13.0,0.0,0.816
15,0.700,15,0,0.766,0.787,11.0,1.0,0.826
16,0.720,10,0,0.752,0.883,10.0,0.0,0.880
17,0.738,10,0,0.750,0.918,13.0,0.0,0.874
18,0.757,10,0,0.753,0.950,18.0,0.0,0.877
19,0.776,12,0,0.757,0.982,10.0,0.0,0.883
20,0.794,12,0,0.761,1.000,14.0,0.0,0.888
21,0.930,11,1,0.829,,,,
22,0.951,13,0,0.820,,,,
23,0.972,13,0,0.820,,,,
24,0.809,9,0,0.830,,,,
25,0.829,16,0,0.799,,,,
26,0.647,14,0,0.756,,,,
27,0.656,18,0,0.740,,,,
28,0.665,11,0,0.735,,,,
29,0.673,11,0,0.734,,,,
30,0.681,12,1,0.735,,,,
31,0.688,10,0,0.737,,,,
32,0.493,12,0,0.704,,,,
33,0.500,14,0,0.692,,,,
34,0.304,17,0,0.653,,,,
35,0.107,15,0,0.604,,,,
36,0.113,14,0,0.585,,,,
37,0.119,14,0,0.579,,,,
38,0.124,16,0,0.577,,,,
39,0.007,14,0,0.594,,,,
40,0.012,10,0,0.564,,,,
