轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.032,2,0,0.544,0.124,2.0,0.0,0.695
2,0.200,2,0,0.642,0.164,1.0,0.0,0.738
3,0.307,2,0,0.713,0.206,2.0,0.0,0.760
4,0.339,1,0,0.706,0.248,1.0,0.0,0.774
5,0.372,1,0,0.707,0.291,2.0,0.0,0.784
6,0.465,2,1,0.779,0.335,2.0,0.0,0.794
7,0.496,1,0,0.771,0.380,2.0,0.0,0.803
8,0.528,2,0,0.772,0.425,1.0,0.0,0.812
9,0.551,1,0,0.775,0.471,1.0,0.0,0.821
10,0.578,2,0,0.779,0.517,0.0,0.0,0.831
11,0.603,1,0,0.784,0.564,1.0,0.0,0.840
12,0.728,2,0,0.861,0.748,1.0,1.0,0.900
13,0.754,0,0,0.855,0.798,2.0,0.0,0.900
14,0.781,0,0,0.856,0.963,1.0,0.0,0.933
15,0.924,2,0,0.933,1.000,2.0,0.0,0.933
16,0.954,1,0,0.928,,,,
17,0.981,1,0,0.929,,,,
18,1.000,2,0,0.932,,,,
