轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.041,4,0,0.516,0.047,3.0,0.0,0.627
2,0.083,3,0,0.529,0.099,5.0,0.0,0.686
3,0.125,3,0,0.540,0.152,3.0,0.0,0.717
4,0.169,3,0,0.552,0.208,4.0,0.0,0.738
5,0.218,4,0,0.563,0.264,2.0,0.0,0.755
6,0.267,3,0,0.575,0.322,3.0,0.0,0.770
7,0.319,4,0,0.588,0.381,4.0,0.0,0.785
8,0.375,4,0,0.601,0.441,5.0,0.0,0.800
9,0.428,1,0,0.615,0.503,3.0,0.0,0.816
10,0.488,4,0,0.629,0.565,4.0,0.0,0.831
11,0.548,3,0,0.644,0.629,4.0,0.0,0.847
12,0.607,4,0,0.659,0.694,3.0,0.0,0.863
13,0.729,4,0,0.733,0.759,4.0,0.0,0.869
14,0.777,2,0,0.730,0.912,3.0,0.0,0.898
15,0.823,4,0,0.735,0.979,3.0,0.0,0.899
16,0.960,2,0,0.808,1.000,4.0,0.0,0.899
17,1.000,4,0,0.803,,,,
