轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.100,4,0,0.590,0.028,1.0,0.0,0.516
2,0.112,2,0,0.588,0.055,2.0,1.0,0.526
3,0.140,4,0,0.592,0.211,3.0,0.0,0.605
4,0.169,3,0,0.597,0.240,1.0,0.0,0.600
5,0.193,2,1,0.603,0.463,2.0,0.0,0.735
6,0.219,3,0,0.609,0.495,2.0,0.0,0.713
7,0.250,4,0,0.615,0.526,1.0,0.0,0.709
8,0.280,3,1,0.622,0.555,3.0,1.0,0.712
9,0.310,4,1,0.630,0.585,2.0,0.0,0.717
10,0.343,3,0,0.637,0.615,2.0,0.0,0.723
11,0.448,2,0,0.707,0.645,2.0,0.0,0.730
12,0.483,3,1,0.700,0.788,1.0,0.0,0.805
13,0.603,2,1,0.767,0.820,2.0,0.0,0.800
14,0.635,2,0,0.758,0.852,2.0,0.0,0.803
15,0.668,3,0,0.759,0.884,4.0,0.0,0.808
16,0.696,3,0,0.764,0.916,0.0,0.0,0.815
17,0.723,3,0,0.770,0.948,1.0,0.0,0.823
18,0.749,2,0,0.776,,,,
19,0.774,2,0,0.782,,,,
20,0.796,0,0,0.787,,,,
21,0.820,3,0,0.793,,,,
22,0.935,1,0,0.864,,,,
23,0.960,4,0,0.856,,,,
24,0.986,4,0,0.856,,,,
25,0.806,1,0,0.831,,,,
26,0.623,1,0,0.794,,,,
27,0.643,2,0,0.782,,,,
28,0.802,3,0,0.852,,,,
29,0.884,3,0,0.884,,,,
30,0.894,4,0,0.866,,,,
